Input,Category
"औद्योगिक ग्रामलाई ४ वर्षमा डेढ अर्ब खर्च, सञ्चालन शून्य",business
कालीगण्डकी करिडोरमा विद्युत् आयोजनाको लर्को,business
दसैंलाई हिमाली जिल्लामा चामल ढुवानी सुरु,business
सरकार निजी क्षेत्र लगानीमैत्री नीति निर्माणको तयारीमा : प्रधानमन्त्री,business
ब्रोकर कमिसन घटाउने तयारीमा धितोपत्र बोर्ड,business
पेट्रोलियम पदार्थको मूल्य फेरि बढ्योकान्तिपुर संवाददातासरकारले पेट्रोलियम पदार्थको मूल्य फेरि बढाएको छ । इन्डियन आयल कर्पोरेसनबाट खरिद मूल्य बढेर आएको भन्दै शुक्रबार बसेको निगम व्यवस्थापनको बैठकले पेट्रोल प्रतिलिटर १ र डिजेल/मट्टितेलमा ३ रुपैयाँ वृद्धि गर्ने निर्णय गरेको हो ।  संग्रह  सेयर,business
इन्डिगोले स्मार्ट वाचबाट पाइलटको थकान परीक्षण गर्नेएजेन्सीभारतको सबैभन्दा ठूलो वायुसेवा कम्पनी इन्डिगोले एक विशेष स्मार्टवाचमार्फत आफ्ना विमान चालकहरूको थकान वा तन्द्रा अवस्था जाँच्ने भएको छ । इन्डिगोले थकान व्यवस्थापनका प्रक्रियाहरूमा सुधार गर्न सल्लाहकारसमेत नियुक्त गर्ने योजना बनाएको रोयटर्सले जनाएको छ ।   संग्रह  सेयर,business
"४ वाणिज्य बैंकले घोषणा गरे लाभांश, कसरी पाइन्छ लाभांश ?कान्तिपुर संवाददाताहालसम्म ४ वाणिज्य बैंकहरुले गत आर्थिक वर्षको नाफाबाट सेयरधनीलाई दिने लाभांश घोषणा गरेका छन् । नेपाल स्टक एक्स्चेन्जका अनुसार माछापुच्छ्रे, एभरेस्ट, सानिमा र एनआईसी एसिया बैंकले लाभांश घोषणा गरेका हुन् ।  संग्रह  सेयर",business
"१४० मेगावाटको तनहुँ जलविद्युत् आयोजनाको भौतिक प्रगति ४३ प्रतिशतसम्झना रसाइलीतनहुँको ऋषिङ गाउँपालिका–१ काहुँ शिवपुरमा सेती नदीमा निर्माणाधीन १४० मेगावाट क्षमताको तनहुँ जलविद्युत् आयोजनाको समग्र भौतिक प्रगति ४३ प्रतिशत भएको छ । प्याकेज १, प्याकेज २ र प्याकेज ३ गरी ३ चरणमा वर्गीकरण गरी निर्माण कार्य हुँदै आएको आयोजनाको करिब ४०.२ प्रतिशत आर्थिक प्रगति भएको जनाइएको छ ।   संग्रह  सेयर",business
डेडिकेटेड तथा ट्रंक लाइनको भुक्तानीका लागि प्राधिकरणले थप्यो १ महिना म्यादकान्तिपुर संवाददातानेपाल विद्युत् प्राधिकरणले डेडिकेटेड तथा ट्रंक लाइनवापतको रकम उठाउने म्याद पुनः थप गरेको छ । डेडिकेटेड तथा ट्रंकलाइनवापत उठ्नुपर्ने २० अर्ब रुपैयाँ बराबरको बक्यौताको म्याद १ महिना थप भएको हो । गत भदौ १७ एक सूचना प्रकाशित गर्दै प्राधिकरणले डेडिकेटेड तथा ट्रंकलाइनबापत बक्यौता १५ दिनभित्र नतिरे लाइन काट्ने चेतावनी दिएको थियो ।  संग्रह  सेयर,business
